Country,Region,Population,Area (sq. mi.)
Afghanistan,ASIA,31056997,647500
Albania,EASTERN EUROPE                     ,3581655,28748
Algeria ,NORTHERN AFRICA                    ,32930091,2381740
American Samoa ,OCEANIA                            ,57794,199
Andorra ,WESTERN EUROPE                     ,71201,468
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700
Anguilla ,LATIN AMER. & CARIB    ,13477,102
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,443
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890
Armenia ,EUROPE,2976372,29800
Aruba ,LATIN AMER. & CARIB    ,71891,193
Australia ,OCEANIA                            ,20264082,7686850
Austria ,WESTERN EUROPE                     ,8192880,83870
Azerbaijan ,EUROPE,7961619,86600
Bahamas,LATIN AMER. & CARIB    ,303770,13940
Bahrain ,NEAR EAST                          ,698585,665
Bangladesh ,ASIA,147365352,144000
Barbados ,LATIN AMER. & CARIB    ,279912,431
Belarus ,EUROPE,10293011,207600
Belgium ,WESTERN EUROPE                     ,10379067,30528
Belize ,LATIN AMER. & CARIB    ,287730,22966
Benin ,SUB-SAHARAN AFRICA                 ,7862944,112620
Bermuda ,NORTHERN AMERICA                   ,65773,53
Bhutan ,ASIA,2279723,47000
Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,51129
Botswana ,SUB-SAHARAN AFRICA           ,1639833,600370
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965
British Virgin Is. ,LATIN AMER. & CARIB,23098,153
Brunei ,ASIA,379444,5770
Bulgaria ,EASTERN EUROPE,7385367,110910
Burkina Faso ,SUB-SAHARAN AFRICA,13902972,274200
Burma ,ASIA,47382633,678500
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,27830
Cambodia ,ASIA,13881427,181040
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440
Canada ,NORTHERN AMERICA                   ,33098932,9984670
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033
Cayman Islands ,LATIN AMER. & CARIB    ,45436,262
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,622984
Chad ,SUB-SAHARAN AFRICA                 ,9944201,1284000
Chile ,LATIN AMER. & CARIB    ,16134219,756950
China ,ASIA,1313973713,9596960
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910
Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170
Congo Repub. of the ,SUB-SAHARAN AFRICA                 ,3702314,342000
Congo Dem. Rep. ,SUB-SAHARAN AFRICA                 ,62660551,2345410
Cook Islands ,OCEANIA                            ,21388,240
Costa Rica ,LATIN AMER. & CARIB    ,4075261,51100
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,322460
Croatia ,EASTERN EUROPE                     ,4494749,56542
Cuba ,LATIN AMER. & CARIB    ,11382820,110860
Cyprus ,NEAR EAST                          ,784301,9250
Czech Republic ,EASTERN EUROPE                     ,10235455,78866
Denmark ,WESTERN EUROPE                     ,5450661,43094
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000
Dominica ,LATIN AMER. & CARIB    ,68910,754
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,48730
East Timor ,ASIA,1062777,15007
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560
Egypt ,NORTHERN AFRICA                    ,78887007,1001450
El Salvador ,LATIN AMER. & CARIB    ,6822378,21040
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320
Estonia ,BALTICS                            ,1324333,45226
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127
Faroe Islands ,WESTERN EUROPE                     ,47246,1399
Fiji ,OCEANIA                            ,905949,18270
Finland ,WESTERN EUROPE                     ,5231372,338145
France ,WESTERN EUROPE                     ,60876136,547030
French Guiana ,LATIN AMER. & CARIB    ,199509,91000
French Polynesia ,OCEANIA                            ,274578,4167
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667
Gambia The ,SUB-SAHARAN AFRICA                 ,1641564,11300
Gaza Strip ,NEAR EAST                          ,1428757,360
Georgia ,EUROPE,4661473,69700
Germany ,WESTERN EUROPE                     ,82422299,357021
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460
Gibraltar ,WESTERN EUROPE                     ,27928,7
Greece ,WESTERN EUROPE                     ,10688058,131940
Greenland ,NORTHERN AMERICA                   ,56361,2166086
Grenada ,LATIN AMER. & CARIB    ,89703,344
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780
Guam ,OCEANIA                            ,171019,541
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890
Guernsey ,WESTERN EUROPE                     ,65409,78
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,245857
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120
Guyana ,LATIN AMER. & CARIB    ,767245,214970
Haiti ,LATIN AMER. & CARIB    ,8308504,27750
Honduras ,LATIN AMER. & CARIB    ,7326496,112090
Hong Kong ,ASIA,6940432,1092
Hungary ,EASTERN EUROPE                     ,9981334,93030
Iceland ,WESTERN EUROPE                     ,299388,103000
India ,ASIA,1095351995,3287590
Indonesia ,ASIA,245452739,1919440
Iran ,ASIA,68688433,1648000
Iraq ,NEAR EAST                          ,26783383,437072
Ireland ,WESTERN EUROPE                     ,4062235,70280
Isle of Man ,WESTERN EUROPE                     ,75441,572
Israel ,NEAR EAST                          ,6352117,20770
Italy ,WESTERN EUROPE                     ,58133509,301230
Jamaica ,LATIN AMER. & CARIB    ,2758124,10991
Japan ,ASIA,127463611,377835
Jersey ,WESTERN EUROPE                     ,91084,116
Jordan ,NEAR EAST                          ,5906760,92300
Kazakhstan ,EUROPE,15233244,2717300
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,582650
Kiribati ,OCEANIA                            ,105432,811
Korea North ,ASIA,23113019,120540
Korea South ,ASIA,48846823,98480
Kuwait ,NEAR EAST                          ,2418393,17820
Kyrgyzstan ,EUROPE,5213898,198500
Laos ,ASIA,6368481,236800
Latvia ,BALTICS                            ,2274735,64589
Lebanon ,NEAR EAST                          ,3874050,10400
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,30355
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,111370
Libya ,NORTHERN AFRICA                    ,5900754,1759540
Liechtenstein ,WESTERN EUROPE                     ,33987,160
Lithuania ,BALTICS                            ,3585906,65200
Luxembourg ,WESTERN EUROPE                     ,474413,2586
Macau ,ASIA,453125,28
Macedonia ,EASTERN EUROPE                     ,2050554,25333
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,587040
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,118480
Malaysia ,ASIA,24385858,329750
Maldives ,ASIA,359008,300
Mali ,SUB-SAHARAN AFRICA                 ,11716829,1240000
Malta ,WESTERN EUROPE                     ,400214,316
Marshall Islands ,OCEANIA                            ,60422,11854
Martinique ,LATIN AMER. & CARIB    ,436131,1100
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1030700
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,374
Mexico ,LATIN AMER. & CARIB    ,107449525,1972550
Micronesia Fed. St. ,OCEANIA                            ,108004,702
Moldova ,EUROPE,4466706,33843
Monaco ,WESTERN EUROPE                     ,32543,2
Mongolia ,ASIA,2832224,1564116
Montserrat ,LATIN AMER. & CARIB    ,9439,102
Morocco ,NORTHERN AFRICA                    ,33241259,446550
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590
N. Mariana Islands ,OCEANIA                            ,82459,477
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,825418
Nauru ,OCEANIA                            ,13287,21
Nepal ,ASIA,28287147,147181
Netherlands ,WESTERN EUROPE                     ,16491461,41526
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960
New Caledonia ,OCEANIA                            ,219246,19060
New Zealand ,OCEANIA                            ,4076140,268680
Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494
Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768
Norway ,WESTERN EUROPE                     ,4610820,323802
Oman ,NEAR EAST                          ,3102229,212460
Pakistan ,ASIA,165803560,803940
Palau ,OCEANIA                            ,20579,458
Panama ,LATIN AMER. & CARIB    ,3191319,78200
Papua New Guinea ,OCEANIA                            ,5670544,462840
Paraguay ,LATIN AMER. & CARIB    ,6506464,406750
Peru ,LATIN AMER. & CARIB    ,28302603,1285220
Philippines ,ASIA,89468677,300000
Poland ,EASTERN EUROPE                     ,38536869,312685
Portugal ,WESTERN EUROPE                     ,10605870,92391
